Supermercado,Marca,Producto,Precio,Categoria,Enlace,Fecha,porMayor
Unimarc,Carozzi,Pasta Tallarines N° 87 Carozzi 400 G,660,Tallarín,https://www.unimarc.cl/product/tallarines-87-carozzi-400-gr,2024-10-01,3 x $1.980
Lider,Carozzi,"Fideos Espiral N°49, 400 G",660,Tallarín,https://www.lider.cl/supermercado/product/sku/3279/carozzi-fideos-espiral-n49-400-g,2024-10-01,3 x $1.981
Lider,Carozzi,"Fideos Cabello Ángel Corto, 400 G",660,Tallarín,https://www.lider.cl/supermercado/product/sku/2737/carozzi-fideos-cabello-angel-corto-400-g,2024-10-01,3 x $1.981
Lider,Carozzi,"Fideos Tallarin N°87, 400 G",660,Tallarín,https://www.lider.cl/supermercado/product/sku/2717/carozzi-fideos-tallarin-n87-400-g,2024-10-01,3 x $1.981
Lider,Carozzi,"Fideos Fettuccine N°88, 400 G",660,Tallarín,https://www.lider.cl/supermercado/product/sku/299553/carozzi-fideos-fettuccine-n88-400-g,2024-10-01,3 x $1.981
Lider,Carozzi,"Fideos Corbata N°80, 400 G",660,Tallarín,https://www.lider.cl/supermercado/product/sku/715313/carozzi-fideos-corbata-n80-400-g,2024-10-01,3 x $1.981
Lider,Carozzi,"Fideos Spaghetti N°5, 400 G",660,Tallarín,https://www.lider.cl/supermercado/product/sku/2713/carozzi-fideos-spaghetti-n5-400-g,2024-10-01,3 x $1.981
Unimarc,Costa,Galletas Frac Naranja 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-naranja,2024-10-01,
Unimarc,Costa,Galletas Frac Bi Cappuccino 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-bi-capuccino,2024-10-01,
Unimarc,Costa,Galletas Frac Bi Frutilla 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-bi-frutilla,2024-10-01,
Unimarc,Costa,Galletas Frac Vainilla 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-vainilla,2024-10-01,
Unimarc,Costa,Galletas Frac Chocolate 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-chocolate,2024-10-01,
Unimarc,Costa,Galletas Frac Clásica 110 G,720,Frac,https://www.unimarc.cl/product/galleta-frac-costa-110gr-clasica,2024-10-01,
Lider,Lucchetti,"Fideos Corbatas Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296803/lucchetti-fideos-corbatas-bolsa-400-g,2024-10-01,4 x $2.990
Lider,Lucchetti,"Fideos Canutos Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296847/lucchetti-fideos-canutos-bolsa-400-g,2024-10-01,4 x $2.990
Lider,Lucchetti,"Fideos Espirales 56 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296751/lucchetti-fideos-espirales-56-bolsa-400-g,2024-10-01,4 x $2.990
Lider,Lucchetti,"Fideos Tallarines 77 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/296907/lucchetti-fideos-tallarines-77-bolsa-400-g,2024-10-01,4 x $2.990
Lider,Lucchetti,"Fideos Spaghetti 5 Bolsa, 400 G",747,Tallarín,https://www.lider.cl/supermercado/product/sku/10703/lucchetti-fideos-spaghetti-5-bolsa-400-g,2024-10-01,4 x $2.990
Unimarc,Nuestra Cocina,Pasta Tallarines 77 Nuestra Cocina 400 G,760,Tallarín,https://www.unimarc.cl/product/pasta-nuestra-cocina-400-tallarines-77,2024-10-01,
Santa Isabel,Lucchetti,Espirales Proslow Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/espirales-lucchetti-bolsa-400-g/p,2024-10-01,
Santa Isabel,Lucchetti,Fideos Mostaccioli Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/fideos-mostaccioli-400-g/p,2024-10-01,
Santa Isabel,Lucchetti,Tallarín N°77 Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/tallarines-n-77-lucchetti-bolsa-400-g/p,2024-10-01,
Santa Isabel,Lucchetti,Canutos Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/canutos-lucchetti-bolsa-400-g/p,2024-10-01,
Santa Isabel,Lucchetti,Corbatas Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/corbatas-lucchetti-bolsa-400-g/p,2024-10-01,
Santa Isabel,Lucchetti,Spaghetti N°5 Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/spaghetti-n-5-lucchetti-bolsa-400-g/p,2024-10-01,
Santa Isabel,Lucchetti,Espirales Tr3S Lucchetti 400 G,777,Tallarín,https://www.santaisabel.cl/espirales-lucchetti-bolsa-400-g-tr3s-tomate-natural-espinaca/p,2024-10-01,
Unimarc,Carozzi,Pasta Spaghetti Integral Carozzi 400 G,780,Tallarín,https://www.unimarc.cl/product/spaghetti-integral-carozzi-400-gr,2024-10-01,3 x $2.340
Santa Isabel,Cuisine & Co,Spaghetti Vitaminizado 400 G,790,Tallarín,https://www.santaisabel.cl/spaghetti-vitaminizado-400-g-cuisine-and-co-1870148/p,2024-10-01,
Santa Isabel,Cuisine & Co,Tallarín Vitaminizado 400 G,790,Tallarín,https://www.santaisabel.cl/tallarin-vitaminizado-400-g-cuisine-and-co-1870149/p,2024-10-01,
Santa Isabel,Cuisine & Co,Canutos Vitaminizados 400 G,790,Tallarín,https://www.santaisabel.cl/canutos-vitaminizados-400-g-cuisine-and-co-1870153/p,2024-10-01,
Santa Isabel,Cuisine & Co,Espirales Vitaminizados 400 G,790,Tallarín,https://www.santaisabel.cl/espirales-vitaminizados-400-g-cuisine-and-co-1870151/p,2024-10-01,
Jumbo,Cuisine & Co,Spaghetti Vitaminizado 400 G,810,Tallarín,https://www.jumbo.cl/spaghetti-vitaminizado-400-g-cuisine-and-co-1870148/p,2024-10-01,
Jumbo,Cuisine & Co,Tallarín Vitaminizado 400 G,810,Tallarín,https://www.jumbo.cl/tallarin-vitaminizado-400-g-cuisine-and-co-1870149/p,2024-10-01,
Unimarc,Carozzi,Pasta Spaghetti N° 5 Carozzi Tricolor 400 G,850,Tallarín,https://www.unimarc.cl/product/carozzi-spaghetti-n-5-tricolor-400-g,2024-10-01,3 x $2.550
Unimarc,Carozzi,Pasta Tallarines N° 87 Carozzi Con Espinaca 400 G,850,Tallarín,https://www.unimarc.cl/product/carozzi-tallarines-n-87-con-espinaca-400-g,2024-10-01,3 x $2.550
Santa Isabel,Iansa Agro,Porotos Rojos Listos 390 G,890,Porotos,https://www.santaisabel.cl/porotos-rojos-sin-sal-anadida-390-g-1881641/p,2024-10-01,
Lider,San José,"Lomos De Jurel Ahumado, Drenado 104 G - Neto …",903,Jurel,https://www.lider.cl/supermercado/product/sku/1045741/san-jose-lomos-de-jurel-ahumado-drenado-104-g-neto-160-g,2024-10-01,
Lider,San José,"Lomos De Jurel En Aceite, Drenado 104 G - Neto 160…",903,Jurel,https://www.lider.cl/supermercado/product/sku/959561/san-jose-lomos-de-jurel-en-aceite-drenado-104-g-neto-160-g,2024-10-01,
Lider,San José,"Lomos De Jurel Al Natural, Drenado 104 G - Neto 16…",903,Jurel,https://www.lider.cl/supermercado/product/sku/959563/san-jose-lomos-de-jurel-al-natural-drenado-104-g-neto-160-g,2024-10-01,
Lider,Colun,"Leche Entera Natural Caja, 1 L",950,Leche Entera,https://www.lider.cl/supermercado/product/sku/5101/colun-leche-entera-natural-caja-1-l,2024-10-01,
Lider,Lider,"Porotos Verdes Corte Francés, 350 G",952,Porotos,https://www.lider.cl/supermercado/product/sku/488247/lider-porotos-verdes-corte-frances-350-g,2024-10-01,
Jumbo,Talliani,Spaghetti N°5 Talliani Integral 400 G,968,Tallarín,https://www.jumbo.cl/talliani-spaghetti-5-integral-400g-1937088/p,2024-10-01,
Santa Isabel,Cuisine & Co,Fusilli 100% Trigo Duro 400 G,970,Tallarín,https://www.santaisabel.cl/fusilli-100-trigo-duro-400-g-1922157/p,2024-10-01,
Santa Isabel,Cuisine & Co,Farfalle 100% Trigo Duro 400 G,970,Tallarín,https://www.santaisabel.cl/farfalle-100-trigo-duro-400-g-1922156/p,2024-10-01,
Santa Isabel,Cuisine & Co,Spaghetti 100% Trigo Duro 400 G,970,Tallarín,https://www.santaisabel.cl/spaghetti-100-trigo-duro-400-g-1922153/p,2024-10-01,
Unimarc,Talliani,Pasta Tallarines N° 77 Talliani Al Huevo 400 G,975,Tallarín,https://www.unimarc.cl/product/tallarines-77-talliani-400-gr,2024-10-01,2 x $1.950
Unimarc,Talliani,Pasta Spaghetti N° 5 Talliani Al Huevo 400 G,975,Tallarín,https://www.unimarc.cl/product/talliani-spaghetti-n-5-al-huevo-400-g,2024-10-01,2 x $1.950
Jumbo,Trattoria,Pasta Spaghetti N°5 Trattoria 400 G,990,Tallarín,https://www.jumbo.cl/spaghetti-n-5-trattoria-bolsa-400-g-con-huevos-frescos/p,2024-10-01,
Santa Isabel,De Reyes,Jurel De Reyes 230 G Drenado,990,Jurel,https://www.santaisabel.cl/jurel-de-reyes-230-gr-dr-1997800/p,2024-10-01,
Jumbo,Trattoria,Pasta Tallarín N°87 Trattoria 400 G,990,Tallarín,https://www.jumbo.cl/tallarines-n-87-trattoria-bolsa-400-g-con-huevos-frescos/p,2024-10-01,
Unimarc,Iansa Agro,Porotos Rojos Iansa Agro Listos 390 G,990,Porotos,https://www.unimarc.cl/product/porotos-rojos-l-serv-iansa-agro-390gr,2024-10-01,
Unimarc,Iansa Agro,Porotos Blancos Listos Iansa Agro 390 G,990,Porotos,https://www.unimarc.cl/product/porotos-blancos-tetrapack-iansa-390-gr,2024-10-01,
Jumbo,Cuisine & Co,Spaghetti 100% Trigo Duro 400 G,990,Tallarín,https://www.jumbo.cl/spaghetti-100-trigo-duro-c-and-co-400g-1922153/p,2024-10-01,
Unimarc,Iansa Agro,Porotos Negros Listos Iansa Agro 390 G,990,Porotos,https://www.unimarc.cl/product/porotos-negros-tetrapack-iansa-390-gr,2024-10-01,
Unimarc,Costa,Bombón Frac Costa Chocolate Con Trozos De Galleta 75G,990,Frac,https://www.unimarc.cl/product/bombon-choc-rell-galleta-frac-costa-15gr,2024-10-01,
Santa Isabel,Deyco,Jurel Al Natural Deyco 255 G Drenado,990,Jurel,https://www.santaisabel.cl/jurel-deyco-255g/p,2024-10-01,
Santa Isabel,Surlat,Leche Surlat Entera 1 L,999,Leche Entera,https://www.santaisabel.cl/leche-entera-surlat-b-a-1l-1991554/p,2024-10-01,
Jumbo,Soprole,Leche Soprole Entera Natural 1 L,1000,Leche Entera,https://www.jumbo.cl/leche-soprole-natural-1-litro/p,2024-10-01,
Unimarc,U Mas Ahorro,Jurel Unimarc Mas Ahorro 425 G,1000,Jurel,https://www.unimarc.cl/product/jurel-unimarc-mas-ahorro-425-gr,2024-10-01,
Jumbo,Iansa Agro,Porotos Negros Iansa Agro Listos 390 G,1000,Porotos,https://www.jumbo.cl/porotos-negros-agro-390-g/p,2024-10-01,
Unimarc,1881,Pasta Spaghetti N° 5 1881 500 G,1000,Tallarín,https://www.unimarc.cl/product/fideo-spaghetti-n5-1881-500-gr,2024-10-01,
Unimarc,1881,Pasta Spaghetti N°5 1881 Bolsa 500 G,1000,Tallarín,https://www.unimarc.cl/product/spaghetti-bio-organic-1881-500-gr,2024-10-01,
Jumbo,Iansa Agro,Porotos Blancos Iansa Agro Listos 390 G,1000,Porotos,https://www.jumbo.cl/porotos-blancos-agro-390-g/p,2024-10-01,
Jumbo,Surlat,Leche Surlat Entera 1 L,1000,Leche Entera,https://www.jumbo.cl/leche-entera-surlat-b-a-1l-1991554/p,2024-10-01,
Santa Isabel,Iansa Agro,Porotos Blancos Iansa Agro Listos 390 G,1000,Porotos,https://www.santaisabel.cl/porotos-blancos-listos-sin-sal-anadida-390g/p,2024-10-01,
Santa Isabel,Iansa Agro,Porotos Negros Iansa Agro Listos 390 G,1000,Porotos,https://www.santaisabel.cl/porotos-negros-listos-sin-sal-anadida-390g/p,2024-10-01,
Jumbo,Talliani,Tallarín N°78 Talliani 400 G,1013,Tallarín,https://www.jumbo.cl/tallarines-n-78-talliani-bolsa-400-g/p,2024-10-01,
Jumbo,Talliani,Tallarín N°77 Talliani 400 G,1013,Tallarín,https://www.jumbo.cl/tallarines-n-77-talliani-bolsa-400-g-con-huevos-frescos/p,2024-10-01,
Jumbo,Talliani,Spaghetti N°5 Talliani Al Huevo 400 G,1013,Tallarín,https://www.jumbo.cl/spaghetti-n-5-talliani-bolsa-400-g-con-huevos-frescos/p,2024-10-01,
Lider,Costa,"Galleta Frac 4 Un, 52 G",1030,Frac,https://www.lider.cl/supermercado/product/sku/4430940/costa-galleta-frac-4-un-52-g,2024-10-01,
Jumbo,Talliani,Spaghetti Talliani 3 Sabores 400 G,1035,Tallarín,https://www.jumbo.cl/spaghetti-3-sabores-talliani-400g-1864393/p,2024-10-01,
Santa Isabel,Colun,Leche Colun Entera 1 L,1049,Leche Entera,https://www.santaisabel.cl/leche-entera-colun-caja-1-l-natural/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Tallarin N°87 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/tallarines-n-87-carozzi-bolsa-400-g-2/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Fettuccine N°88 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/fettuccini-carozzi-bolsa-400-g-n-88/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Spaghetti N°3 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/spaghetti-n-3-carozzi-bolsa-400-g-2/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Quifaro N°36 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/quifaros-carozzi-bolsa-400-g-2/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Rigatoni N°48 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/rigatoni-carozzi-bolsa-400-g-2/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Capellini N°25 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/capellini-bolsa-400-g-264984/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Mostaccioli N°46 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/mostaccioli-carozzi-400-g/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Espiral N°49 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/espirales-carozzi-bolsa-400-g/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Spaghetti N°5 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/spaghetti-n-5-carozzi-bolsa-400-g-2/p,2024-10-01,
Lider,Loncoleche,"Leche Natural Entera Lonco Leche, 1 L",1050,Leche Entera,https://www.lider.cl/supermercado/product/sku/1002314/loncoleche-leche-natural-entera-lonco-leche-1-l,2024-10-01,
Lider,Lider,"Leche Natural Entera, 1 L",1050,Leche Entera,https://www.lider.cl/supermercado/product/sku/3091/lider-leche-natural-entera-1-l,2024-10-01,
Lider,Lucchetti,"Fideos Espirales Trisabor Bolsa, 400 G",1050,Tallarín,https://www.lider.cl/supermercado/product/sku/11493/lucchetti-fideos-espirales-trisabor-bolsa-400-g,2024-10-01,
Santa Isabel,Carozzi,Pasta Corbata N°80 Carozzi 400 G,1050,Tallarín,https://www.santaisabel.cl/corbatas-carozzi-bolsa-400-g/p,2024-10-01,
Unimarc,Loncoleche,Leche Entera Sin Lactosa Loncoleche Con Tapa 1 L,1057,Leche Entera,https://www.unimarc.cl/product/leche-entera-sin-lactosa-loncoleche-con-tapa-1-l,2024-10-01,
Santa Isabel,Cuisine & Co,Leche Cuisine & Co Entera 1 L,1059,Leche Entera,https://www.santaisabel.cl/leche-entera-1-l-cuisine-and-co-1858321/p,2024-10-01,
Santa Isabel,Soprole,Leche Soprole Sin Lactosa Entera 1 L,1069,Leche Entera,https://www.santaisabel.cl/leche-s-l-entera-soprole-zerolacto-1lt-1950864/p,2024-10-01,
Jumbo,Cuisine & Co,Leche Cuisine & Co Entera 1 L,1069,Leche Entera,https://www.jumbo.cl/leche-entera-1-l-cuisine-and-co-1858321/p,2024-10-01,
Lider,Frutos Del Maipo,"Porotos Verdes Corte Normal, 350 G",1074,Porotos,https://www.lider.cl/supermercado/product/sku/279695/frutos-del-maipo-porotos-verdes-corte-normal-350-g,2024-10-01,
Lider,El Golfo,"Croqueta De Jurel, 100 G",1090,Jurel,https://www.lider.cl/supermercado/product/sku/4611481/el-golfo-croqueta-de-jurel-100-g,2024-10-01,
Unimarc,Lucchetti,Pasta Spaghetti N° 5 Lucchetti 400 G,1090,Tallarín,https://www.unimarc.cl/product/lucchetti-spaghetti-n-5-400-g,2024-10-01,
Unimarc,Los Peumos,Leche Entera Los Peumos 1 L,1090,Leche Entera,https://www.unimarc.cl/product/leche-entera-tetra-los-peumos-1lt,2024-10-01,
Unimarc,Lucchetti,Pasta Tallarines Nº 77 Lucchetti 400 G,1090,Tallarín,https://www.unimarc.cl/product/tallarines-lucchetti-400-gr,2024-10-01,
Jumbo,Carozzi,Pasta Spaghetti N°5 Carozzi 400 G,1090,Tallarín,https://www.jumbo.cl/spaghetti-n-5-carozzi-bolsa-400-g-2/p,2024-10-01,
Unimarc,El Golfo,Croqueta De Jurel El Golfo 100 G,1090,Jurel,https://www.unimarc.cl/product/croqueta-de-jurel-el-golfo-100gr,2024-10-01,
Lider,Surlat,"Leche Entera, 1 L",1090,Leche Entera,https://www.lider.cl/supermercado/product/sku/1060083/surlat-leche-entera-1-l,2024-10-01,
Jumbo,Carozzi,Pasta Spaghetti N°3 Carozzi 400 G,1090,Tallarín,https://www.jumbo.cl/spaghetti-n-3-carozzi-bolsa-400-g-2/p,2024-10-01,
Jumbo,Loncoleche,Leche Loncoleche Entera Sin Lactosa 1 L,1100,Leche Entera,https://www.jumbo.cl/leche-loncoleche-natural-sin-lactosa-1-l/p,2024-10-01,
Lider,Loncoleche,"Leche Entera Natural Sin Lactosa, 1 L",1100,Leche Entera,https://www.lider.cl/supermercado/product/sku/300847/loncoleche-leche-entera-natural-sin-lactosa-1-l,2024-10-01,
Unimarc,Loncoleche,Leche Entera Loncoleche Sin Tapa 1 L,1120,Leche Entera,https://www.unimarc.cl/product/leche-entera-s-t-loncoleche-1-lt,2024-10-01,
Jumbo,Lucchetti,Spaghetti N°5 Lucchetti 400 G,1130,Tallarín,https://www.jumbo.cl/spaghetti-n-5-lucchetti-bolsa-400-g/p,2024-10-01,
Jumbo,Lucchetti,Tallarín N°77 Lucchetti 400 G,1130,Tallarín,https://www.jumbo.cl/tallarines-n-77-lucchetti-bolsa-400-g/p,2024-10-01,
Jumbo,Lucchetti,Spaghetti N°5 Lucchetti Tr3S 400 G,1130,Tallarín,https://www.jumbo.cl/spaghetti-n-5-lucchetti-400-g-tomate-natural-espinaca/p,2024-10-01,
Jumbo,Lucchetti,Tallarín N°78 Lucchetti 400 G,1130,Tallarín,https://www.jumbo.cl/tallarines-n-78-lucchetti-bolsa-400-g/p,2024-10-01,
Santa Isabel,Cuisine & Co,Jurel Natural 130 G Drenado,1149,Jurel,https://www.santaisabel.cl/jurel-natural-c-and-co-130g-dr-1963035/p,2024-10-01,
Lider,Lider,"Porotos Negros, Drenado 230 G - Neto 390 G",1150,Porotos,https://www.lider.cl/supermercado/product/sku/1251439/lider-porotos-negros-drenado-230-g-neto-390-g,2024-10-01,
Unimarc,Colun,Leche Entera Natural Colun Sin Tapa 1 L,1150,Leche Entera,https://www.unimarc.cl/product/leche-entera-natural-colun-sin-tapa-1-l-2,2024-10-01,
Santa Isabel,Cuisine & Co,Porotos Negros 230 G Drenado,1159,Porotos,https://www.santaisabel.cl/porotos-negros-390-g-cuisine-and-co-1862250/p,2024-10-01,
Santa Isabel,Cuisine & Co,Porotos Blancos 230 G Drenado,1159,Porotos,https://www.santaisabel.cl/porotos-blancos-390-g-cuisine-and-co-1862251/p,2024-10-01,
Santa Isabel,Cuisine & Co,Porotos Rojos Cuisine & Co 230 G Drenado,1159,Porotos,https://www.santaisabel.cl/porotos-rojos-390-g-cuisine-and-co-1862249/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Tallarines N°87 Carozzi Espinaca 400 G,1170,Tallarín,https://www.santaisabel.cl/tallarines-n-87-espinaca-400-g/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Spaghetti Tricolor Carozzi 400 G,1170,Tallarín,https://www.santaisabel.cl/spaghetti-n-5-carozzi-bolsa-400-g-tricolori-tomate-clasica-y-espinacas-2/p,2024-10-01,
Santa Isabel,Carozzi,Pasta Fusilli Tricolor Carozzi 400 G,1170,Tallarín,https://www.santaisabel.cl/fusilli-carozzi-400-g-tricolori/p,2024-10-01,
Jumbo,Martini,Sopa Mixta Martini 270 G,1170,Porotos,https://www.jumbo.cl/sopa-mixta-martini-bolsa-270-g-2/p,2024-10-01,
Jumbo,Cuisine & Co,Porotos Negros 230 G Drenado,1179,Porotos,https://www.jumbo.cl/porotos-negros-390-g-cuisine-and-co-1862250/p,2024-10-01,
Jumbo,Cuisine & Co,Porotos Blancos 230 G Drenado,1179,Porotos,https://www.jumbo.cl/porotos-blancos-390-g-cuisine-and-co-1862251/p,2024-10-01,
Jumbo,Cuisine & Co,Porotos Rojos Cuisine & Co 230 G Drenado,1179,Porotos,https://www.jumbo.cl/porotos-rojos-390-g-cuisine-and-co-1862249/p,2024-10-01,
Jumbo,Lucchetti,Spaghetti N°5 Lucchetti Integrales 400 G,1180,Tallarín,https://www.jumbo.cl/spaghetti-integral-lucchetti-400-g/p,2024-10-01,
Unimarc,Surlat,Leche Entera Natural Surlat 1 L,1180,Leche Entera,https://www.unimarc.cl/product/leche-entera-natural-surlat-1-lt,2024-10-01,
